,name,nutri_fat,nutri_satuFat,nutri_carbohydrate,nutri_sugar,nutri_fiber,nutri_protein,nutri_salt,nutri_kcal
0,Mango and chilis pickles - Mother's receip,1.5,,1.0,,,,,20.0
1,Max Protein - Rite it’s,,,14.8,,5.0,20.0,,267.0
2,Kamarkat - 100 gm,,,,,,2.0,,452.0
3,Сырок глазурованный ваниль - Ферма,26.1,18.8,29.3,29.0,1.1,11.7,,401.0
4,Ibugesic,,,,,,,0.0,
5,Salted Peanuts - Panjwani,47.78,7.86,28.26,7.26,19.26,0.0,17.98,609.0
6,Special suji rusk - Veer jee,2.6,,1.4,,,2.1,,118.0
7,Frooti Mango drink,,,15.8,15.8,0.4,,,84.0
8,Chives Kimchi - 80Million Kimchi,,,3.571,,3.571,3.571,,35.0
9,Masala  oats - Soffola,3.0,0.04,23.8,2.4,2.4,2.8,,133.0
10,Kai Murruku - Anna bytes,30.0,9.333,56.667,1.667,0.333,10.0,,533.0
11,Insight Banana Loose Powder,,,,,,,0.0,
12,Parle G - 55g,13.0,6.0,77.3,25.5,,6.9,0.74,454.0
13,malt vinegar - heinz,,,,,,,0.0,
14,Yummy - Anmol - 35g,16.89,8.81,74.47,29.6,,6.27,0.535,474.0
15,White Toast - Innlay Bakery,2.381,3.571,83.333,91.667,,11.905,,402.0
16,Shrimp,,,,,,19.469,,79.0
17,Strawberry milk - SHATTO,13.0,8.0,46.0,30.0,,12.0,,360.0
18,Spaghetti - Lubella,1.4,0.4,70.0,4.2,3.0,13.0,,351.0
19,Chicken tikka - Sardar,9.28,,6.4,,,15.27,,170.0
20,Taka tak - 100g,35.0,17.0,50.0,0.5,,7.0,,543.0
21,Brut - 283g,,,,,,,,
22,Eggs - Mae’s Eggs,9.524,,,,,12.698,,142.0
23,Bread - iD,2.9,0.6,0.8,1.5,0.0,,55.2,285.0
24,Dark chocolate Muesli - Yoga bar,13.3,4.9,67.0,6.7,9.4,13.3,,437.0
25,Super muesli - Yoga Bar,21.6,,39.8,,15.1,17.4,,425.0
26,Cuajada hondureña - La cremosita,5.0,3.5,1.0,,,5.0,,70.0
27,Zesty Orange - Santé,0.2,,7.75,7.4,0.05,0.3,,31000.0
28,Super Spoon - Kri Kri,,,20.0,19.0,,15.0,,141.0
29,Muesli+ - Yoga Bar,9.5,2.0,70.0,4.8,7.5,13.0,0.0,418.0
30,राम बंधू पापड मसाला - 100g,0.37,,9.48,,8.17,1.82,,49.0
31,Saffola Oats,5.3,,66.8,,10.4,12.6,,345.0
32,Dal makhani - Kohinoor,3.2,0.5,13.9,0.2,4.8,2.9,,83.0
